TYPE,PATH,LINE,STATUS,inlining-008000,inlining-016000,inlining-032000,inlining-064000,inlining-128000,inlining-256000,summary-001000,summary-002000,summary-004000,summary-008000,summary-016000,summary-032000,summary-064000,POPULARITY
Assigning value to const variable,external/icu4c/common/rbbirb.cpp,177,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/webkit/Source/WebCore/platform/network/HTTPParsers.cpp,131,Unknown,+,+,+,+,+,+,,,,,+,+,+,9
Integer overflow,external/sqlite/dist/sqlite3.c,53483,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/webkit/Source/WebCore/rendering/style/RenderStyle.cpp,779,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/codecs/amrwbenc/src/c2t64fx.c,93,Unclear,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Transforms/Utils/Local.cpp,711,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/skia/src/core/SkAlphaRuns.cpp,42,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/compile/slang/BitWriter_2_9/ValueEnumerator.cpp,526,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/CodeGen/CGObjCMac.cpp,5540,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/CodeGen/SelectionDAG/LegalizeFloatTypes.cpp,187,Unknown,+,+,+,+,+,+,+,,,,,+,,8
Assigning value to const variable,external/clang/lib/Sema/Sema.cpp,461,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/clang/lib/Analysis/CFG.cpp,3417,Unknown,+,+,+,+,+,+,,,,,,+,+,8
Assigning value to const variable,frameworks/wilhelm/src/itf/IObject.c,120,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/SymbolManager.cpp,540,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/messagepattern.cpp,1081,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/llvm/lib/VMCore/Instructions.cpp,874,TP,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/protobuf/src/google/protobuf/io/tokenizer.cc,594,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/RefPtrHashMap.h,229,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/valgrind/main/coregrind/m_debuginfo/readpdb.c,1044,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/dtfmtsym.cpp,1129,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/i18n/calendar.cpp,1187,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/srec/srec/Recognizer/src/RecognizerImpl.c,3794,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/common/rbbistbl.cpp,99,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IVolume.c,168,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/mesa3d/src/pixelflinger2/shader.cpp,960,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Sema/SemaDecl.cpp,3858,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/skia/src/core/SkRegion.cpp,135,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/StaticAnalyzer/Core/CallEvent.cpp,690,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/JavaScriptCore/wtf/HashTraits.h,49,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/MC/SubtargetFeature.cpp,86,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/skia/src/core/SkString.cpp,376,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/cxcore/src/cxpersistence.cpp,3791,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/llvm/lib/TableGen/Record.cpp,712,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/include/clang/Lex/Preprocessor.h,1144,Unknown,+,,,,,,,,,,,,,1
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1524,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Integer overflow,external/srec/portable/src/LCHAR.c,35,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/smpdtfmt.cpp,3108,TP,+,+,+,+,+,+,,,+,+,+,+,+,11
Assigning value to const variable,external/llvm/lib/Support/FoldingSet.cpp,318,Unknown,+,+,+,+,+,+,,,,+,,,,7
Integer overflow,external/llvm/lib/Target/Mips/MipsISelLowering.cpp,1902,FP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Support/MemoryBuffer.cpp,351,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/MachineModuleInfo.cpp,119,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/compile/mclinker/lib/Target/X86/X86PLT.cpp,125,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/VMCore/AsmWriter.cpp,615,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Integer overflow,external/opencv/cv/src/cvfilter.cpp,2318,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/webkit/Source/WebCore/css/CSSStyleSelector.cpp,1722,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/qemu/distrib/jpeg-6b/jquant1.c,645,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/qemu/distrib/jpeg-6b/jquant1.c,645,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Analysis/ConstantFolding.cpp,200,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/common/uloc.c,1542,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/Analysis/Dominators.h,672,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Support/APFloat.cpp,2054,Unknown,+,+,+,+,+,+,,,,,,+,+,8
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/Scanner.c,1073,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/icu4c/i18n/decContext.c,390,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/icu4c/i18n/digitlst.cpp,539,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/LocalScanner.c,326,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/unorm_it.c,251,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/Support/APFloat.cpp,945,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/Support/APFloat.cpp,3122,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/quake/quake/src/WinQuake/common.cpp,1351,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IRecord.c,123,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/av/services/camera/libcameraservice/Camera2Device.cpp,1231,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/neven/Embedded/common/src/b_TensorEm/Flt16Mat3D.c,203,Unknown,+,+,+,+,+,+,,,,,,+,+,8
Integer overflow,frameworks/av/media/libstagefright/rtsp/ARTPWriter.cpp,550,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/native/include/utils/StrongPointer.h,201,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/charstr.cpp,42,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/lib/Basic/FileManager.cpp,402,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/neven/Embedded/common/src/b_BitFeatureEm/BitParam.c,71,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Linker/LinkModules.cpp,283,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/libxml2/tree.c,7262,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,frameworks/wilhelm/src/itf/IAndroidEffectSend.c,173,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/unorm_it.c,320,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Target/ARM/ARMLoadStoreOptimizer.cpp,1818,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/llvm/lib/Transforms/IPO/MergeFunctions.cpp,96,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/chromium/third_party/libevent/min_heap.h,124,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/clang/include/clang/Lex/Preprocessor.h,418,Unknown,+,,,,,,+,+,+,+,+,,+,7
Assigning value to const variable,external/icu4c/common/utext.cpp,1674,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/openssl/crypto/asn1/a_strnid.c,235,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/cxcore/src/cxmatmul.cpp,3095,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/wilhelm/src/itf/IEnvironmentalReverb.c,52,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/srec/audio/AudioIn/UNIX/src/filter.c,256,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/qemu/fpu/softfloat.c,283,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Transforms/Utils/PromoteMemoryToRegister.cpp,1006,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/CodeGen/MachineBlockPlacement.cpp,123,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/llvm/lib/Target/Mips/MipsCodeEmitter.cpp,210,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,bionic/libc/unistd/getopt_long.c,160,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1596,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/clang/lib/Lex/ScratchBuffer.cpp,54,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/llvm/lib/CodeGen/LiveIntervalAnalysis.cpp,1406,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,557,Unclear,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/uhash.c,236,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Support/SmallPtrSet.cpp,224,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/lib/Bitcode/Writer/ValueEnumerator.cpp,514,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Sema/SemaDecl.cpp,3899,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/WebCore/css/CSSStyleSelector.cpp,3488,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/mesa3d/src/pixelflinger2/shader.cpp,963,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,libcore/luni/src/main/native/libcore_icu_NativeConverter.cpp,433,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Analysis/RegionInfo.cpp,643,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/av/drm/libdrmframework/plugins/passthru/src/DrmPassthruPlugIn.cpp,66,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,external/webkit/Source/WebCore/html/HTMLViewSourceDocument.cpp,263,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Transforms/Scalar/GVN.cpp,1579,Unknown,+,+,+,+,+,+,,+,+,+,+,+,,11
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,1383,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Bitcode/Writer/ValueEnumerator.cpp,119,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/icu4c/common/rbbirb.cpp,187,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/common/messagepattern.cpp,1082,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/clang/lib/Driver/ToolChains.cpp,219,Unknown,+,+,+,+,+,+,+,,,,+,+,+,10
Assigning value to const variable,external/icu4c/common/normalizer2impl.cpp,1428,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,frameworks/wilhelm/tests/mimeUri/slesTestLoopUri.cpp,267,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,system/extras/ext4_utils/extent.c,86,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,build/tools/acp/acp.c,114,FP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/clang/lib/Frontend/SerializedDiagnosticPrinter.cpp,477,TP,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/common/rbbirb.cpp,186,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Integer overflow,external/aac/libFDK/src/FDK_bitbuffer.cpp,318,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/rbbirb.cpp,192,Unknown,+,+,+,+,+,+,,+,+,+,+,+,+,12
Assigning value to const variable,external/icu4c/i18n/ucol_elm.cpp,1533,Unknown,+,+,+,+,+,+,,,,+,+,+,+,10
Assigning value to const variable,external/icu4c/common/udatamem.c,28,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/neven/Embedded/common/src/b_TensorEm/Flt16Vec2D.c,181,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/webkit/Source/JavaScriptCore/wtf/text/StringImpl.cpp,86,Unknown,+,+,+,+,+,+,,+,,+,+,+,+,11
Assigning value to const variable,external/qemu/android/charmap.c,597,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/codecs/avc/common/src/reflist.cpp,479,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/include/llvm/ADT/Optional.h,36,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/neven/Embedded/common/src/b_BasicEm/Math.c,240,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Analysis/ScalarEvolution.cpp,4854,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/opencv/cv/src/cvcalibinit.cpp,511,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/llvm/lib/Support/SmallPtrSet.cpp,219,Unknown,+,+,+,+,+,+,,+,,,,,,7
Assigning value to const variable,external/webkit/Source/WebCore/loader/cache/CachedImage.h,89,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/skia/src/core/SkAntiRun.h,78,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/llvm/include/llvm/CodeGen/MachineFunction.h,224,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/bluetooth/bluedroid/stack/l2cap/l2c_fcr.c,2226,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/valgrind/main/coregrind/m_aspacemgr/aspacemgr-linux.c,3176,Unknown,+,,,,,,,+,+,+,+,+,+,7
Integer overflow,external/valgrind/main/coregrind/m_aspacemgr/aspacemgr-linux.c,3176,Unknown,+,,,,,,,+,+,+,+,+,+,7
Integer overflow,external/opencv/ml/src/mlboost.cpp,379,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/llvm/lib/CodeGen/TargetInstrInfoImpl.cpp,257,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/chromium/net/disk_cache/storage_block-inl.h,144,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,external/webkit/Source/WebCore/css/CSSImageGeneratorValue.cpp,58,Unknown,+,+,+,+,+,+,,,,,,,,6
Integer overflow,frameworks/av/media/libstagefright/codecs/amrnb/common/include/basic_op_c_equivalent.h,122,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Integer overflow,external/valgrind/main/drd/drd_bitmap.c,589,Unknown,+,+,+,+,+,+,,,+,+,+,+,+,11
Integer overflow,external/chromium/base/file_path.cc,314,TP,+,+,+,+,+,+,+,+,+,+,+,+,+,13
Assigning value to const variable,frameworks/av/services/camera/libcameraservice/Camera2Device.cpp,694,TP,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/icu4c/common/uniset.cpp,1390,Unknown,+,+,+,+,+,+,,,,,,,,6
Assigning value to const variable,external/chromium/base/metrics/histogram.h,411,Unknown,+,+,+,+,+,+,+,+,+,+,+,+,+,13
